date,close,volume,open,high,low
07-09-2018,221.3,37418910,221.85,225.37,220.71
06-09-2018,223.1,34121240,226.23,227.35,221.3
05-09-2018,226.87,33290830,228.99,229.67,225.1
04-09-2018,228.36,27363960,228.41,229.18,226.63
31-08-2018,227.63,43177540,226.51,228.87,226
30-08-2018,225.03,48696960,223.25,228.26,222.4
29-08-2018,222.98,27074260,220.15,223.49,219.41
28-08-2018,219.7,22751390,219.01,220.54,218.92
27-08-2018,217.94,20400770,217.15,218.74,216.33
24-08-2018,216.16,18457720,216.6,216.9,215.11
23-08-2018,215.49,18505780,214.65,217.05,214.6
22-08-2018,215.05,18965930,214.1,216.36,213.84
21-08-2018,215.04,25682700,216.8,217.19,214.025
20-08-2018,215.46,30149410,218.1,219.18,215.11
17-08-2018,217.58,35034410,213.44,217.95,213.16
16-08-2018,213.32,27595310,211.75,213.8121,211.47
15-08-2018,210.24,28595230,209.22,210.74,208.33
14-08-2018,209.75,20679270,210.155,210.56,208.26
13-08-2018,208.87,25864510,207.7,210.952,207.7
10-08-2018,207.53,24592460,207.36,209.1,206.67
09-08-2018,208.88,23389530,207.28,209.78,207.2
08-08-2018,207.25,22493750,206.05,207.81,204.52
07-08-2018,207.11,25525650,209.32,209.5,206.76
06-08-2018,209.07,25396100,208,209.25,207.07
03-08-2018,207.99,33408050,207.03,208.74,205.4803
02-08-2018,207.39,62317430,200.58,208.38,200.35
01-08-2018,201.5,67812280,199.13,201.76,197.31
31-07-2018,190.29,37847260,190.3,192.14,189.34
30-07-2018,189.91,20912890,191.9,192.2,189.07
27-07-2018,190.98,23975350,194.99,195.19,190.1
26-07-2018,194.21,19005150,194.61,195.96,193.61
25-07-2018,194.82,16553500,193.06,194.85,192.43
24-07-2018,193,18680930,192.45,193.6601,192.05
23-07-2018,191.61,15955820,190.68,191.96,189.56
20-07-2018,191.44,20670830,191.78,192.43,190.17
19-07-2018,191.88,20182050,189.69,192.55,189.69
18-07-2018,190.4,16365720,191.78,191.8,189.93
17-07-2018,191.45,15515000,189.75,191.87,189.2
16-07-2018,190.91,15009800,191.52,192.65,190.415
13-07-2018,191.33,12506830,191.08,191.84,190.9
12-07-2018,191.03,18000180,189.53,191.41,189.31
11-07-2018,187.88,18776390,188.5,189.7799,187.61
10-07-2018,190.35,15801370,190.71,191.28,190.1801
09-07-2018,190.58,19636390,189.5,190.68,189.3
06-07-2018,187.97,17426160,185.42,188.434,185.2
05-07-2018,185.4,16543880,185.26,186.41,184.28
03-07-2018,183.92,13954810,187.79,187.95,183.54
02-07-2018,187.18,17675210,183.82,187.3,183.42
29-06-2018,185.11,22551660,186.29,187.19,182.91
28-06-2018,185.5,17352380,184.1,186.21,183.8
27-06-2018,184.16,24987260,185.228,187.28,184.03
26-06-2018,184.43,24378480,182.99,186.53,182.54
25-06-2018,182.17,31632320,183.4,184.92,180.73
22-06-2018,184.92,27185130,186.12,186.15,184.7
21-06-2018,185.46,25649240,187.25,188.35,184.94
20-06-2018,186.5,20490090,186.35,187.2,185.73
19-06-2018,185.69,33538550,185.14,186.33,183.45
18-06-2018,188.74,18458410,187.88,189.22,187.2
15-06-2018,188.84,61438290,190.03,190.16,188.26
14-06-2018,190.8,21584720,191.55,191.57,190.22
13-06-2018,190.7,21480120,192.42,192.88,190.44
12-06-2018,192.28,16859020,191.385,192.611,191.15
11-06-2018,191.23,18069930,191.35,191.97,190.21
08-06-2018,191.7,26580710,191.17,192,189.77
07-06-2018,193.46,21329170,194.14,194.2,192.335
